language,truth_table,exact_minimum_gates,classical_lower_k_plus_1,classical_upper_k_plus_1,predicted_k_plus_1,calibrated_lower_k_plus_1,calibrated_upper_k_plus_1,covered,n4_lower_allowance,n4_upper_allowance,khrapchenko_product,decision_tree_leaf_count,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,anf_terms_degree_0,fourier_negative_degree_0,anf_terms_degree_1,fourier_negative_degree_1,anf_terms_degree_2,fourier_negative_degree_2,anf_terms_degree_3,fourier_negative_degree_3,anf_terms_degree_4,fourier_negative_degree_4,exact_aon_cover_upper,classical_width,conditional_lower_k_plus_1,conditional_upper_k_plus_1,conditional_covered,conditional_lower_allowance,conditional_upper_allowance
NOR,237913196,11,3.890688259109312,96.0,14.72609547713111,12.871541330610512,16.507123717383188,False,1.8545541465205984,1.7810282402520787,3.890688259109312,11.0,2.8125,4.0,2.5789473684210527,3.1538461538461537,0.0,1.0,1.0,3.0,2.0,7.0,5.0,5.0,2.0,2.0,,92.10931174089069,10.273525793229267,15.896956682781234,True,4.452569683901844,1.170861205650124
NOR,262145535,11,4.0,69.0,12.346438827454463,10.491884680933866,14.127467067706544,True,1.8545541465205984,1.7810282402520787,4.0,8.0,2.5,3.0,2.5,2.5,1.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,,65.0,9.628080523218996,13.5107724042427,True,2.718358304235467,1.1643335767882372
NOR,280035242,11,3.0625,69.0,11.483384259352636,9.628830112832038,13.264412499604717,True,1.8545541465205984,1.7810282402520787,3.0625,8.0,2.4375,4.0,2.5,2.375,0.0,0.0,2.0,3.0,4.0,6.0,2.0,3.0,2.0,1.0,,65.9375,8.717291188925735,12.664547967032654,True,2.7660930704269004,1.1811637076800177
NOR,301142048,11,3.0727272727272728,105.0,13.196964625327851,11.342410478807253,14.97799286557993,True,1.8545541465205984,1.7810282402520787,3.0727272727272728,12.0,2.40625,4.0,2.0454545454545454,3.2,0.0,1.0,1.0,2.0,3.0,5.0,6.0,3.0,2.0,1.0,,101.92727272727272,8.704078555569723,14.361388704711443,True,4.4928860697581285,1.164424079383592
NOR,336859315,11,4.090909090909091,96.0,14.295633837459055,12.44107969093846,16.076662077711134,False,1.8545541465205984,1.7810282402520787,4.090909090909091,11.0,2.71875,4.0,2.4545454545454546,3.3,1.0,1.0,3.0,1.0,4.0,4.0,7.0,2.0,3.0,0.0,,91.9090909090909,9.612910290207871,15.460962093455189,True,4.682723547251184,1.1653282559961327
NOR,453707788,11,3.0727272727272728,87.0,12.267613501707494,10.413059355186896,14.048641741959573,True,1.8545541465205984,1.7810282402520787,3.0727272727272728,10.0,2.46875,4.0,2.136363636363636,3.2,0.0,1.0,2.0,2.0,3.0,5.0,5.0,3.0,4.0,2.0,,83.92727272727272,7.783142200009488,13.432146522059616,True,4.484471301698006,1.1645330203521225
NOR,572752076,11,4.090909090909091,87.0,13.344652995743909,11.490098849223308,15.125681235995986,True,1.8545541465205984,1.7810282402520787,4.090909090909091,10.0,2.4375,4.0,2.090909090909091,3.2,0.0,1.0,2.0,1.0,3.0,4.0,4.0,1.0,5.0,4.0,,82.9090909090909,8.572854150366515,14.508910813870493,True,4.771798845377393,1.164257818126585
NOR,913716740,11,4.587301587301587,87.0,13.803434514362928,11.94888036784233,15.584462754615007,True,1.8545541465205984,1.7810282402520787,4.587301587301587,10.0,2.78125,4.0,2.555555555555556,3.071428571428572,0.0,1.0,1.0,2.0,6.0,5.0,8.0,2.0,3.0,0.0,,82.41269841269842,9.459191684002844,14.970267744728192,True,4.344242830360084,1.1668332303652627
NOR,1364578777,11,3.0625,87.0,13.114206636456482,11.259652489935885,14.89523487670856,True,1.8545541465205984,1.7810282402520787,3.0625,10.0,2.3125,4.0,2.3125,2.3125,1.0,0.0,2.0,1.0,2.0,5.0,4.0,2.0,3.0,1.0,,83.9375,8.91895060758769,14.286628566781133,True,4.195256028868792,1.1724219303246513
NOR,1413763274,11,3.6406926406926408,96.0,13.786433490508166,11.931879343987568,15.567461730760243,True,1.8545541465205984,1.7810282402520787,3.6406926406926408,11.0,2.71875,4.0,2.4285714285714284,3.272727272727273,0.0,1.0,1.0,2.0,6.0,6.0,5.0,5.0,2.0,2.0,,92.35930735930737,9.450865746064995,14.954181027570044,True,4.335567744443171,1.1677475370618775
NOR,1432289476,11,2.951417004048583,78.0,11.528785874536329,9.67423172801573,13.309814114788407,True,1.8545541465205984,1.7810282402520787,2.951417004048583,9.0,2.28125,4.0,2.1578947368421053,2.4615384615384617,0.0,1.0,2.0,2.0,3.0,7.0,6.0,6.0,5.0,4.0,,75.04858299595142,7.886330121867803,12.699874122025397,True,3.6424557526685257,1.1710882474890685
