index,feature,status,family,language,importance_mean,importance_std
166,prime_0_count,new,prime cubes,NAND,0.0006170609816583711,0.00036719398234274906
167,prime_0_count,new,prime cubes,NOR,0.002765521034443527,0.0007786602044431133
168,prime_0_mean_literals,new,prime cubes,AND_OR_NOT,0.0003090962202282305,0.00021317575716226522
169,prime_0_mean_literals,new,prime cubes,NAND,0.0003375889107079089,0.00018497354932497375
170,prime_0_mean_literals,new,prime cubes,NOR,0.07179098318642048,0.01846443175013785
171,prime_0_minimum_literals,new,prime cubes,AND_OR_NOT,0.0,0.0
172,prime_0_minimum_literals,new,prime cubes,NAND,0.0,0.0
173,prime_0_minimum_literals,new,prime cubes,NOR,0.0,0.0
174,prime_1_count,new,prime cubes,AND_OR_NOT,8.397288775138234e-05,0.0001276186979907475
175,prime_1_count,new,prime cubes,NAND,0.0016278531024437298,0.000754052557408048
176,prime_1_count,new,prime cubes,NOR,0.0011612933666152792,0.0005206076668885038
177,prime_1_mean_literals,new,prime cubes,AND_OR_NOT,0.0012514557300724732,0.00040128619296994156
178,prime_1_mean_literals,new,prime cubes,NAND,0.06354197195540895,0.009763389353643062
179,prime_1_mean_literals,new,prime cubes,NOR,0.0007882774941469578,0.0004784644588417623
180,prime_1_minimum_literals,new,prime cubes,AND_OR_NOT,0.0,0.0
181,prime_1_minimum_literals,new,prime cubes,NAND,0.0,0.0
182,prime_1_minimum_literals,new,prime cubes,NOR,0.0,0.0
183,sensitivity_variance,new,local sensitivity,AND_OR_NOT,0.004080104169717019,0.00200950236600128
184,sensitivity_variance,new,local sensitivity,NAND,0.002549511305039889,0.0008917067272287555
185,sensitivity_variance,new,local sensitivity,NOR,0.002857475779596988,0.0010412573024544119
186,total_monochromatic_components,new,cube topology,AND_OR_NOT,0.004792710590932653,0.0013294602688863622
187,total_monochromatic_components,new,cube topology,NAND,0.009228290675426748,0.0021389754285790217
188,total_monochromatic_components,new,cube topology,NOR,0.011266832388193732,0.0037726037465046726
189,xor_factorable_partitions,new,factorability,AND_OR_NOT,0.00013677836134152465,0.00012482378132886425
190,xor_factorable_partitions,new,factorability,NAND,-7.215978043126348e-06,1.1310428869905945e-05
191,xor_factorable_partitions,new,factorability,NOR,2.0792052927245953e-05,6.487736366410813e-05
192,zero_conditional_sensitivity,new,local sensitivity,AND_OR_NOT,0.0001480045926602669,0.00012652575401949834
193,zero_conditional_sensitivity,new,local sensitivity,NAND,0.00017456429263439655,0.0002581456408627259
194,zero_conditional_sensitivity,new,local sensitivity,NOR,0.00043523298002142997,0.00042788687300970916
195,zero_region_components,new,cube topology,AND_OR_NOT,7.987451242567333e-05,8.018069588549943e-05
196,zero_region_components,new,cube topology,NAND,9.720791562478903e-05,0.00011847570852063122
197,zero_region_components,new,cube topology,NOR,0.002595865110362275,0.001419893183495066
