feature_family,component,descriptor_classes,language,ceiling_r2,ceiling_gain
fourier_sign_profile,degree_2_negative,1521,NOR,0.9050133879254731,0.011568856301611197
fourier_sign_profile,degree_2_negative,1521,AND_OR_NOT,0.9555764522729844,0.02495452547748278
fourier_sign_profile,degree_2_zero,675,NAND,0.893444531623862,0.0
fourier_sign_profile,degree_2_zero,675,NOR,0.893444531623862,0.0
fourier_sign_profile,degree_2_zero,675,AND_OR_NOT,0.9306219267955016,0.0
fourier_sign_profile,degree_2_positive,1521,NAND,0.9050133879254731,0.011568856301611197
fourier_sign_profile,degree_2_positive,1521,NOR,0.9050133879254731,0.011568856301611197
fourier_sign_profile,degree_2_positive,1521,AND_OR_NOT,0.9555764522729844,0.02495452547748278
fourier_sign_profile,degree_3_negative,1925,NAND,0.9298991300630176,0.03645459843915566
fourier_sign_profile,degree_3_negative,1925,NOR,0.9298991300630176,0.03645459843915566
fourier_sign_profile,degree_3_negative,1925,AND_OR_NOT,0.9498916945263126,0.019269767730811016
fourier_sign_profile,degree_3_zero,675,NAND,0.893444531623862,0.0
fourier_sign_profile,degree_3_zero,675,NOR,0.893444531623862,0.0
fourier_sign_profile,degree_3_zero,675,AND_OR_NOT,0.9306219267955016,0.0
fourier_sign_profile,degree_3_positive,1925,NAND,0.9298991300630176,0.03645459843915566
fourier_sign_profile,degree_3_positive,1925,NOR,0.9298991300630176,0.03645459843915566
fourier_sign_profile,degree_3_positive,1925,AND_OR_NOT,0.9498916945263126,0.019269767730811016
fourier_sign_profile,degree_4_negative,1051,NAND,0.895730857804566,0.0022863261807040125
fourier_sign_profile,degree_4_negative,1051,NOR,0.895730857804566,0.0022863261807040125
fourier_sign_profile,degree_4_negative,1051,AND_OR_NOT,0.9356683143906512,0.005046387595149637
fourier_sign_profile,degree_4_zero,675,NAND,0.893444531623862,0.0
fourier_sign_profile,degree_4_zero,675,NOR,0.893444531623862,0.0
fourier_sign_profile,degree_4_zero,675,AND_OR_NOT,0.9306219267955016,0.0
fourier_sign_profile,degree_4_positive,1051,NAND,0.895730857804566,0.0022863261807040125
fourier_sign_profile,degree_4_positive,1051,NOR,0.895730857804566,0.0022863261807040125
fourier_sign_profile,degree_4_positive,1051,AND_OR_NOT,0.9356683143906512,0.005046387595149637
anf_degree_profile,degree_0,1234,NAND,0.9114182623787794,0.017973730754917483
anf_degree_profile,degree_0,1234,NOR,0.909980863469579,0.01653633184571701
anf_degree_profile,degree_0,1234,AND_OR_NOT,0.9466841036664819,0.016062176870980327
anf_degree_profile,degree_1,1871,NAND,0.9512740450259987,0.05782951340213671
anf_degree_profile,degree_1,1871,NOR,0.9382114359715579,0.044766904347695924
anf_degree_profile,degree_1,1871,AND_OR_NOT,0.9493982103292592,0.0187762835337576
anf_degree_profile,degree_2,1875,NAND,0.9333638315896366,0.0399192999657747
anf_degree_profile,degree_2,1875,NOR,0.930398602755052,0.03695407113119009
anf_degree_profile,degree_2,1875,AND_OR_NOT,0.9527494097260707,0.022127482930569098
anf_degree_profile,degree_3,1437,NAND,0.9095601530182199,0.01611562139435796
anf_degree_profile,degree_3,1437,NOR,0.9095601530182199,0.01611562139435796
anf_degree_profile,degree_3,1437,AND_OR_NOT,0.9404595006023655,0.009837573806863897
anf_degree_profile,degree_4,675,NAND,0.893444531623862,0.0
anf_degree_profile,degree_4,675,NOR,0.893444531623862,0.0
anf_degree_profile,degree_4,675,AND_OR_NOT,0.9306219267955016,0.0
local_sensitivity_profile,output_0_sensitivity_0,715,NAND,0.8977878159739536,0.004343284350091681
local_sensitivity_profile,output_0_sensitivity_0,715,NOR,0.89827611558522,0.004831583961358077
local_sensitivity_profile,output_0_sensitivity_0,715,AND_OR_NOT,0.9358384864626038,0.005216559667102216
