truth_table,khrapchenko_product,decision_tree_leaf_count,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,anf_terms_degree_0,fourier_negative_degree_0,anf_terms_degree_1,fourier_negative_degree_1,anf_terms_degree_2,fourier_negative_degree_2,anf_terms_degree_3,fourier_negative_degree_3,anf_terms_degree_4,fourier_negative_degree_4,exact_aon_cover_upper,exact_minimum_gates,classical_lower_k_plus_1,classical_upper_k_plus_1,predicted_k_plus_1,classical_width,and_factorable_partitions,or_factorable_partitions,canalizing_variable_count,restriction_upper_k_plus_1,factor_upper_k_plus_1,construction_upper_k_plus_1,prime_cover_slack,cohort,baseline_lower_k_plus_1,baseline_upper_k_plus_1,baseline_covered,structure_augmented_lower_k_plus_1,structure_augmented_upper_k_plus_1,structure_augmented_covered
4200382076,4.714285714285714,13.0,2.9375,5.0,3.5454545454545454,2.619047619047619,0.0,0.0,2.0,4.0,2.0,5.0,6.0,8.0,5.0,3.0,25,12,4.714285714285714,25.0,14.790257733767394,20.285714285714285,0.0,0.0,0.0,17.0,189.0,17.0,10.209742266232606,upper_tail,12.09586026811085,16.227232056938842,True,12.083637643956308,16.202293187749156,True
255483808,5.0625,11.0,2.875,4.0,3.0,2.75,0.0,0.0,1.0,2.0,3.0,7.0,2.0,3.0,2.0,0.0,24,12,5.0625,24.0,13.797355777428661,18.9375,0.0,0.0,0.0,15.0,189.0,15.0,10.202644222571339,upper_tail,10.995544068613494,15.222144487027677,True,11.258724993140362,15.165342633394438,True
3235217443,4.16017316017316,13.0,2.75,4.0,2.4285714285714284,3.3636363636363638,1.0,1.0,3.0,3.0,7.0,2.0,8.0,6.0,2.0,2.0,24,12,4.16017316017316,24.0,13.805013805737417,19.83982683982684,0.0,0.0,0.0,17.0,189.0,17.0,10.194986194262583,upper_tail,10.99133956465306,15.232384214972852,True,11.126377839898868,15.198853721237509,True
3231707583,4.266666666666667,12.0,2.84375,4.0,3.25,2.6,1.0,0.0,0.0,1.0,4.0,3.0,6.0,5.0,2.0,2.0,24,12,4.266666666666667,24.0,13.822305180376798,19.733333333333334,0.0,0.0,0.0,16.0,189.0,16.0,10.177694819623202,upper_tail,11.000781823658286,15.253433553022848,True,11.176055262166287,15.19761662659231,True
4067881548,4.587301587301587,12.0,2.875,4.0,3.2142857142857144,2.611111111111111,0.0,0.0,1.0,3.0,5.0,5.0,7.0,4.0,2.0,0.0,24,12,4.587301587301587,24.0,13.83316207938072,19.41269841269841,0.0,0.0,0.0,14.0,189.0,14.0,10.16683792061928,upper_tail,11.134199893920087,15.260982261618143,True,11.286349445139598,15.2230208019582,True
4283888718,4.714285714285714,13.0,2.78125,4.0,3.6363636363636362,2.3333333333333335,0.0,0.0,2.0,4.0,6.0,7.0,6.0,7.0,3.0,2.0,24,12,4.714285714285714,24.0,13.842228308731599,19.285714285714285,0.0,0.0,0.0,17.0,189.0,17.0,10.157771691268401,upper_tail,11.213905549494822,15.251207011267796,True,11.10272597760212,15.234556985508505,True
3174898965,3.5714285714285716,11.0,2.65625,4.0,3.0,2.388888888888889,1.0,0.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,23,12,3.5714285714285716,23.0,12.866112082448922,19.428571428571427,0.0,0.0,0.0,15.0,189.0,15.0,10.133887917551078,upper_tail,10.117905118412759,14.26925483321892,True,10.361087656455016,14.215571276469374,True
50275564,3.515625,12.0,2.71875,4.0,3.0,2.4375,0.0,0.0,2.0,3.0,3.0,7.0,5.0,4.0,4.0,1.0,24,12,3.515625,24.0,13.883774963914982,20.484375,0.0,0.0,0.0,17.0,189.0,17.0,10.116225036085018,upper_tail,11.347119804721345,15.255181351380106,True,11.309962868980652,15.208051657426754,True
2860522042,4.266666666666667,11.0,2.71875,4.0,2.35,3.3333333333333335,0.0,1.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,25,12,4.266666666666667,25.0,14.914410397927107,20.733333333333334,0.0,0.0,0.0,14.0,189.0,14.0,10.085589602072893,upper_tail,12.007855681259597,16.350251214925155,True,12.30206561724922,16.288924325212047,True
3221684327,4.090909090909091,12.0,2.6875,4.0,2.3636363636363638,3.4,1.0,1.0,2.0,0.0,4.0,1.0,6.0,5.0,2.0,1.0,23,12,4.090909090909091,23.0,12.928029191450879,18.90909090909091,0.0,0.0,0.0,14.0,189.0,14.0,10.071970808549121,upper_tail,10.011981365937839,14.346480385810173,True,10.250744155008096,14.30568033681515,True
483924730,4.515625,12.0,3.03125,4.0,3.0,3.0625,0.0,0.0,2.0,3.0,2.0,6.0,4.0,3.0,4.0,2.0,26,12,4.515625,26.0,15.93308299741769,21.484375,0.0,0.0,0.0,16.0,189.0,16.0,10.06691700258231,upper_tail,13.300925277483998,17.33258100365045,False,13.355501197493558,17.30852023849542,False
1600843434,4.266666666666667,12.0,2.75,4.0,3.25,2.45,0.0,0.0,1.0,3.0,2.0,7.0,4.0,0.0,3.0,2.0,24,12,4.266666666666667,24.0,13.937900262789846,19.733333333333334,0.0,0.0,0.0,14.0,189.0,14.0,10.062099737210154,upper_tail,11.283694784840574,15.343584445047254,True,11.423146450547414,15.312984828187686,True
33426154,3.768627450980392,13.0,2.59375,5.0,2.588235294117647,2.6,0.0,1.0,1.0,3.0,4.0,8.0,5.0,6.0,4.0,1.0,25,12,3.768627450980392,25.0,14.94785081442333,21.231372549019607,0.0,0.0,0.0,16.0,189.0,16.0,10.05214918557667,upper_tail,12.223099618042745,16.37400074862041,True,12.254060529403464,16.333074911438043,True
231854591,4.959514170040486,13.0,2.9375,4.0,3.3076923076923075,2.6842105263157894,1.0,0.0,0.0,2.0,4.0,4.0,6.0,6.0,3.0,4.0,24,12,4.959514170040486,24.0,13.97923742760928,19.040485829959515,0.0,0.0,0.0,18.0,189.0,18.0,10.02076257239072,upper_tail,11.146958899543613,15.447906496960488,True,11.348409771035794,15.387468402959122,True
2375008050,4.4089068825910935,13.0,3.0625,4.0,3.1538461538461537,3.0,0.0,0.0,4.0,2.0,7.0,6.0,7.0,7.0,1.0,5.0,25,12,4.4089068825910935,25.0,15.030797101309503,20.591093117408906,0.0,0.0,0.0,17.0,189.0,17.0,9.969202898690497,upper_tail,12.17255108682109,16.486427269901135,True,12.221275326539715,16.463583885309113,True
4010026820,3.5714285714285716,12.0,2.6875,4.0,2.388888888888889,3.0714285714285716,0.0,1.0,2.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,24,12,3.5714285714285716,24.0,14.040977642939259,20.428571428571427,0.0,0.0,0.0,14.0,189.0,14.0,9.959022357060741,upper_tail,11.288930134881412,15.464032009158165,True,11.423297523134174,15.426876215124429,True
3758289183,4.587301587301587,11.0,3.03125,4.0,3.0,3.0714285714285716,1.0,1.0,1.0,2.0,5.0,0.0,5.0,4.0,1.0,2.0,24,12,4.587301587301587,24.0,14.085286856140796,19.41269841269841,0.0,0.0,0.0,18.0,189.0,18.0,9.914713143859204,upper_tail,11.269576897378169,15.516202897246789,True,11.514214674382892,15.483541088435361,True
475983598,4.266666666666667,11.0,2.625,4.0,3.1666666666666665,2.3,0.0,0.0,2.0,2.0,2.0,7.0,2.0,4.0,4.0,1.0,24,12,4.266666666666667,24.0,14.095590001726134,19.733333333333334,0.0,0.0,0.0,15.0,189.0,15.0,9.904409998273866,upper_tail,11.457056703430792,15.481714050612704,True,11.60462246528483,15.455785484039842,True
