truth_table,inputs,exact_minimum_gates,classical_lower_k_plus_1,existing_upper_k_plus_1,khrapchenko_product,decision_tree_leaf_count,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,anf_terms_degree_0,fourier_negative_degree_0,anf_terms_degree_1,fourier_negative_degree_1,anf_terms_degree_2,fourier_negative_degree_2,anf_terms_degree_3,fourier_negative_degree_3,anf_terms_degree_4,fourier_negative_degree_4,and_factorable_partitions,or_factorable_partitions,canalizing_variable_count,restriction_upper_k_plus_1,factor_upper_k_plus_1,classical_width,restriction_gain,factor_gain,construction_upper_k_plus_1,exact_k_plus_1,true_slack,predicted_residual_slack,learned_reduction_beyond_construction,refined_upper_k_plus_1,cohort,covered,violation,residual_slack,model,risk_stratum,predicted_residual_slack_v3,selective_reduction,selective_upper_k_plus_1,covered_v3
285997579,5,13,4.063492063492063,22.0,4.063492063492063,10.0,2.84375,4.0,2.611111111111111,3.142857142857143,1.0,1.0,3.0,2.0,5.0,6.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,15.0,189.0,17.936507936507937,7.0,0.0,15.0,14,8.0,1.5531043580686497,0.0,15.0,random_reference,True,0.0,1.0,teacher,low,1.5805153244598171,0.0,15.0,True
720056299,5,13,3.75,19.0,3.75,9.0,2.625,4.0,3.1666666666666665,2.3,1.0,0.0,2.0,1.0,4.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,15.0,189.0,15.25,4.0,0.0,15.0,14,5.0,1.6335626164417558,0.0,15.0,random_reference,True,0.0,1.0,teacher,low,1.662155518146492,0.0,15.0,True
840301109,5,13,4.515625,22.0,4.515625,13.0,3.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,3.0,5.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,15.0,189.0,17.484375,7.0,0.0,15.0,14,8.0,1.348760934215407,0.0,15.0,random_reference,True,0.0,1.0,teacher,medium,2.0734153059572114,0.0,15.0,True
1423728270,5,13,4.270588235294118,22.0,4.270588235294118,12.0,3.0625,4.0,3.1333333333333333,3.0,0.0,0.0,2.0,1.0,6.0,7.0,3.0,4.0,5.0,4.0,0.0,0.0,0.0,15.0,189.0,17.729411764705883,7.0,0.0,15.0,14,8.0,2.061866860391934,0.1618650996788888,14.838134900321112,random_reference,True,0.0,1.0,teacher,medium,2.6189032501694887,0.5059561222471545,14.494043877752846,True
242615296,5,13,3.5217391304347827,17.0,3.5217391304347827,11.0,2.6875,4.0,2.1739130434782608,4.0,0.0,1.0,0.0,2.0,4.0,7.0,6.0,5.0,4.0,1.0,0.0,0.0,0.0,17.0,189.0,13.478260869565217,0.0,0.0,17.0,14,3.0,4.480524550536632,2.580522789823587,14.419477210176414,targeted,True,0.0,3.0,student,high,3.337746190954004,2.739181324477837,14.260818675522163,True
387143157,5,13,3.2980392156862743,17.0,3.2980392156862743,11.0,2.625,3.0,3.0,2.294117647058824,1.0,0.0,1.0,0.0,3.0,4.0,2.0,6.0,5.0,3.0,0.0,0.0,0.0,16.0,189.0,13.701960784313728,1.0,0.0,16.0,14,3.0,4.160820436235209,2.260818675522164,13.739181324477835,targeted,False,0.2608186755221631,2.0,student,medium,2.4755781732457605,0.6376994163067127,15.362300583693287,True
336478207,5,13,3.404858299595141,18.0,3.404858299595141,11.0,2.65625,4.0,3.1538461538461537,2.3157894736842106,1.0,0.0,1.0,0.0,2.0,7.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,17.0,189.0,14.59514170040486,1.0,0.0,17.0,14,4.0,3.730904988860048,1.8309032281470023,15.169096771852995,targeted,True,0.0,3.0,student,medium,2.4755781732457605,0.6376994163067127,16.362300583693287,True
79970223,5,13,3.515625,18.0,3.515625,10.0,2.625,4.0,2.625,2.625,1.0,0.0,2.0,1.0,4.0,7.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,17.0,189.0,14.484375,1.0,0.0,17.0,14,4.0,3.2437799693021514,1.3437782085891063,15.656221791410893,targeted,True,0.0,3.0,student,medium,2.4755781732457605,0.6376994163067127,16.362300583693287,True
1329651709,5,13,3.2666666666666666,18.0,3.2666666666666666,11.0,2.53125,4.0,3.1666666666666665,2.15,1.0,0.0,2.0,2.0,5.0,3.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0,17.0,189.0,14.733333333333334,1.0,0.0,17.0,14,4.0,3.1755086223872064,1.2755068616741614,15.72449313832584,targeted,True,0.0,3.0,student,medium,2.4755781732457605,0.6376994163067127,16.362300583693287,True
3486336503,5,13,3.6406926406926408,22.0,3.6406926406926408,13.0,2.5625,4.0,3.1818181818181817,2.238095238095238,1.0,0.0,0.0,2.0,5.0,4.0,7.0,5.0,2.0,5.0,0.0,0.0,0.0,17.0,189.0,18.35930735930736,5.0,0.0,17.0,14,8.0,3.134716266140554,1.234714505427509,15.765285494572492,targeted,True,0.0,3.0,student,medium,2.5770600814168847,0.7391813244778369,16.260818675522163,True
