language,contact,truth_table,truth_table_hex,phase_permutation_orbit_hex,anf,minimum_gates,khrapchenko_product,decision_tree_leaves,lower,upper,active_upper_source,cover_cost_k_plus_1,cover_construction,tied_cover_constructions,cover_cubes_01_dash
AND_OR_NOT,upper,56589,0xdd0d,0x0ace,1 + x0 + x0*x1 + x2 + x0*x2 + x0*x1*x2 + x2*x3 + x0*x2*x3 + x0*x1*x2*x3,5,2.2857142857142856,7,2.2857142857142856,6.0,exact prime cover,6,CNF(f),CNF(f),10-- --10
AND_OR_NOT,upper,56661,0xdd55,0x0aaa,1 + x0 + x0*x1*x3,3,1.6666666666666667,4,1.6666666666666667,4.0,exact prime cover,4,DNF(f),DNF(f),0--- -1-1
AND_OR_NOT,upper,56712,0xdd88,0x03cf,x0*x1 + x3 + x0*x3,4,2.25,4,2.25,5.0,exact prime cover,5,CNF(f),DNF(f);CNF(f),0--0 10--
AND_OR_NOT,upper,56717,0xdd8d,0x02ce,1 + x0 + x0*x1 + x2 + x0*x2 + x2*x3 + x0*x2*x3,6,2.4,5,2.4,7.0,exact prime cover,7,CNF(f),CNF(f),10-- 0-10
AND_OR_NOT,upper,56780,0xddcc,0x00af,x1 + x3 + x0*x3 + x1*x3 + x0*x1*x3,3,1.6666666666666667,4,1.6666666666666667,4.0,exact prime cover,4,DNF(f),DNF(f),-1-- 0--1
AND_OR_NOT,upper,56784,0xddd0,0x03ab,x2 + x0*x2 + x0*x1*x2 + x3 + x0*x3 + x0*x1*x3 + x2*x3 + x0*x2*x3 + x0*x1*x2*x3,4,2.2857142857142856,7,2.2857142857142856,5.0,exact prime cover,5,CNF(f),CNF(f),--00 10--
AND_OR_NOT,upper,56792,0xddd8,0x01ab,x0*x1 + x2 + x0*x2 + x3 + x0*x3 + x2*x3 + x0*x2*x3,5,2.4,5,2.4,6.0,exact prime cover,6,CNF(f),CNF(f),0-00 10--
AND_OR_NOT,upper,56797,0xdddd,0x00aa,1 + x0 + x0*x1,2,1.3333333333333333,3,1.3333333333333333,3.0,exact prime cover,3,CNF(f),DNF(f);CNF(f),10--
AND_OR_NOT,upper,56821,0xddf5,0x028a,1 + x0 + x0*x2 + x0*x1*x3 + x0*x2*x3,6,2.083333333333333,5,2.083333333333333,7.0,exact prime cover,7,DNF(f),DNF(f),0--- --10 -1-1
AND_OR_NOT,upper,56829,0xddfd,0x008a,1 + x0 + x0*x1 + x0*x2 + x0*x1*x2 + x0*x2*x3 + x0*x1*x2*x3,5,1.641025641025641,5,1.641025641025641,6.0,exact prime cover,6,DNF(f),DNF(f),0--- -1-- --10
AND_OR_NOT,upper,57231,0xdf8f,0x028a,1 + x2 + x0*x1*x2 + x2*x3 + x0*x2*x3,6,2.083333333333333,5,2.083333333333333,7.0,exact prime cover,7,DNF(f),DNF(f),--0- 11-- 0--1
