feature,status,family,language,distinct_values,pearson_r,spearman_rho,eta_squared,adjusted_eta_squared,expected_null_eta_squared,conditional_ceiling_gain
anf_terms_degree_3,new,ANF support,NOR,5,0.004992420535494165,-0.000893008150836423,4.3054001284703035e-05,-1.7983183925318613e-05,6.103608758678569e-05,0.01611562139435796
anf_terms_degree_3,new,ANF support,AND_OR_NOT,5,0.009791371569109093,-0.008063564707433607,0.0001611705776055404,0.00010014060220930876,6.103608758678569e-05,0.009837573806863897
fourier_l1_degree_3,new,Fourier shape,NAND,7,0.5164996147019322,0.5345490031292677,0.27500617797373383,0.2749397957165324,9.155413138017853e-05,0.0002188034225060198
fourier_l1_degree_3,new,Fourier shape,NOR,7,0.5164996147019322,0.5345490031292677,0.27500617797373383,0.2749397957165324,9.155413138017853e-05,0.0002188034225060198
fourier_l1_degree_3,new,Fourier shape,AND_OR_NOT,7,0.5672649981334963,0.5846088162522223,0.33076632521877103,0.33070504850084936,9.155413138017853e-05,0.0002719442110173942
fourier_negative_degree_3,new,Fourier phase,NAND,5,0.09597394923144041,0.09562059631199699,0.009543041204707661,0.00948258389694212,6.103608758678569e-05,0.03645459843915566
fourier_negative_degree_3,new,Fourier phase,NOR,5,0.09597394923144041,0.09562059631199699,0.009543041204707661,0.00948258389694212,6.103608758678569e-05,0.03645459843915566
fourier_negative_degree_3,new,Fourier phase,AND_OR_NOT,5,0.02100116460552043,0.02278698083327554,0.005663711485231941,0.005603017383905007,6.103608758678569e-05,0.019269767730811016
fourier_zero_degree_3,new,Fourier shape,NAND,5,-0.1724389100419319,-0.1349504781023359,0.05021922978910396,0.05016125534829219,6.103608758678569e-05,0.0
fourier_zero_degree_3,new,Fourier shape,NOR,5,-0.1724389100419319,-0.1349504781023359,0.05021922978910396,0.05016125534829219,6.103608758678569e-05,0.0
fourier_zero_degree_3,new,Fourier shape,AND_OR_NOT,5,-0.1881036620846267,-0.14577436237987895,0.06463499629854717,0.06457790179343048,6.103608758678569e-05,0.0
anf_terms_degree_4,new,ANF support,NAND,2,0.0022284175953450965,0.0008890020638084171,4.9658449792436225e-06,-1.029333398383514e-05,1.5259021896696422e-05,0.0
anf_terms_degree_4,new,ANF support,NOR,2,0.0022284175953450965,0.0008890020638084171,4.9658449792436225e-06,-1.029333398383514e-05,1.5259021896696422e-05,0.0
anf_terms_degree_4,new,ANF support,AND_OR_NOT,2,-0.002857768735481601,-0.0010346469726211127,8.166842145496109e-06,-7.092287972687572e-06,1.5259021896696422e-05,0.0
fourier_l1_degree_4,new,Fourier shape,NAND,9,0.5447745719752698,0.4740362374337555,0.32157865249191947,0.3214958260115365,0.00012207217517357137,0.0
fourier_l1_degree_4,new,Fourier shape,NOR,9,0.5447745719752698,0.4740362374337555,0.32157865249191947,0.3214958260115365,0.00012207217517357137,0.0
fourier_l1_degree_4,new,Fourier shape,AND_OR_NOT,9,0.5415795550443079,0.4725124233474068,0.32165832263265426,0.3215755058789659,0.00012207217517357137,0.0
fourier_negative_degree_4,new,Fourier phase,NAND,2,0.10634923448148796,0.10053224124773265,0.011310159674798505,0.011295073004668144,1.5259021896696422e-05,0.0022863261807040125
fourier_negative_degree_4,new,Fourier phase,NOR,2,0.08482225458773933,0.08443962205182558,0.0071948148733472685,0.007179665406122138,1.5259021896696422e-05,0.0022863261807040125
fourier_negative_degree_4,new,Fourier phase,AND_OR_NOT,2,0.09150187218057478,0.08824505433613616,0.00837259261255028,0.008357461117335707,1.5259021896696422e-05,0.005046387595149637
