truth_table,mean_certificate_size,anf_terms_degree_1,khrapchenko_product,decision_tree_leaf_count,target_NAND,lower_NAND,upper_NAND,position_NAND,target_NOR,lower_NOR,upper_NOR,position_NOR,target_AND_OR_NOT,lower_AND_OR_NOT,upper_AND_OR_NOT,position_AND_OR_NOT,exact_aon_cover_upper
13360,2.125,1,2.6181818181818177,6,10.0,2.6181818181818177,17.25,0.5728487107797453,8.0,2.6181818181818177,17.25,0.4361602982292638,6.0,2.6181818181818177,9.0,0.6866096866096867,9
13361,2.25,3,3.2666666666666666,7,13.0,3.2666666666666666,19.5,0.6611909650924025,9.0,3.2666666666666666,19.5,0.41478439425051333,10.0,3.2666666666666666,11.666666666666666,0.9206349206349208,13
13362,2.375,2,3.2666666666666666,8,12.0,3.2666666666666666,21.75,0.5266005410279532,9.0,3.2666666666666666,21.75,0.3642921550946799,9.0,3.2666666666666666,13.11111111111111,0.6839729119638825,14
13363,2.25,2,3.111111111111111,7,10.0,3.111111111111111,19.5,0.48135593220338985,9.0,3.111111111111111,19.5,0.4203389830508475,9.0,3.111111111111111,11.666666666666666,0.8051948051948052,12
13364,2.125,2,3.2666666666666666,5,8.0,3.2666666666666666,15.0,0.4886363636363636,5.0,3.2666666666666666,15.0,0.23295454545454544,5.0,3.2666666666666666,8.0,0.5774647887323944,8
13365,2.25,2,3.111111111111111,6,11.0,3.111111111111111,17.25,0.6286836935166994,8.0,3.111111111111111,17.25,0.4165029469548134,8.0,3.111111111111111,10.222222222222221,0.8281250000000001,11
13366,2.375,3,4.063492063492063,7,10.0,4.063492063492063,19.5,0.44935732647814913,9.0,4.063492063492063,19.5,0.38457583547557844,8.0,4.063492063492063,11.666666666666666,0.6492693110647182,12
13367,2.25,1,3.0625,6,10.0,3.0625,17.25,0.5594713656387665,8.0,3.0625,17.25,0.4185022026431718,7.0,3.0625,10.0,0.7117117117117117,10
13368,2.375,1,4.266666666666667,7,11.0,4.266666666666667,19.5,0.5076586433260394,9.0,4.266666666666667,19.5,0.37636761487964987,8.0,4.266666666666667,11.666666666666666,0.6396396396396397,14
13369,2.625,3,5.142857142857143,9,16.0,5.142857142857143,24.0,0.6287878787878788,12.0,5.142857142857143,24.0,0.41666666666666663,12.0,5.142857142857143,14.555555555555555,0.8347386172006747,19
